Product Name,Brands,Prices,Description,Reviews,remove,After comma,RAM,ROM,display,camera,Battery,Processor,
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)",Motorola,"49,999",12 GB RAM | 512 GB ROM | 17.02 cm (6.7 inch) Display | 50MP + 50MP + 64MP | 50MP Front Camera | 4500 mAh Battery | 8s Gen 3 Mobile Platform Processor | 1 Year on Handset and 6 Months on Accessories,4.3,12 GB RAM  512 GB ROM  17.02 cm (6.7 inch) Display  50MP + 50MP + 64MP  50MP Front Camera  4500 mAh Battery  8s Gen 3 Mobile Platform Processor  1 Year on Handset and 6 Months on Accessories,"12 GB RAM,  512 GB ROM,  17.02 cm (6.7 inch) Display,  50MP + 50MP + 64MP  50MP Front Camera,  4500 mAh Battery,  8s Gen 3 Mobile Platform Processor,  1 Year on Handset and 6 Months on Accessories",12 GB RAM,512 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 64MP  50MP Front Camera,4500 mAh Battery,8s Gen 3 Mobile Platform Processor,
"Honor 200 Pro 5G (Ocean Cyan, 512 GB)",Honor,"39,999",12 GB RAM | 512 GB ROM | 17.22 cm (6.78 inch) Full HD+ Super AMOLED Display | 50MP + 50MP + 12MP | 50MP Front Camera | 5200 mAh Battery | Snapdragon 8s Gen 3 Processor | 1 year manufacturer's warranty for handset & 6 months for accessories,4,12 GB RAM  512 GB ROM  17.22 cm (6.78 inch) Full HD+ Super AMOLED Display  50MP + 50MP + 12MP  50MP Front Camera  5200 mAh Battery  Snapdragon 8s Gen 3 Processor  1 year manufacturer's warranty for handset & 6 months for accessories,"12 GB RAM,  512 GB ROM,  17.22 cm (6.78 inch) Full HD+ Super AMOLED Display,  50MP + 50MP + 12MP  50MP Front Camera,  5200 mAh Battery,  Snapdragon 8s Gen 3 Processor,  1 year manufacturer's warranty for handset & 6 months for accessories",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
"SAMSUNG Galaxy S24 5G (Marble Gray, 128 GB)",SAMSUNG,"44,999",8 GB RAM | 128 GB ROM | 15.75 cm (6.2 inch) Full HD+ Display | 50MP + 10MP + 12MP | 12MP Front Camera | 4000 mAh Battery  | Exynos 2400 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6,8 GB RAM  128 GB ROM  15.75 cm (6.2 inch) Full HD+ Display  50MP + 10MP + 12MP  12MP Front Camera  4000 mAh Battery   Exynos 2400 Processor  1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"8 GB RAM,  128 GB ROM,  15.75 cm (6.2 inch) Full HD+ Display,  50MP + 10MP + 12MP  12MP Front Camera,  4000 mAh Battery,   Exynos 2400 Processor,  1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",8 GB RAM,128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP  12MP Front Camera,4000 mAh Battery,Exynos 2400 Processor,
"SAMSUNG Galaxy S24 FE 5G (Mint, 128 GB)",SAMSUNG,"44,999",8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera | 4700 mAh Battery | Exynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5,8 GB RAM  128 GB ROM  17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP  10MP Front Camera  4700 mAh Battery  Exynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"8 GB RAM,  128 GB ROM,  17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP  10MP Front Camera,  4700 mAh Battery,  Exynos 2400e Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",8 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP  10MP Front Camera,4700 mAh Battery,Exynos 2400e Processor,
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)",SAMSUNG,"48,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,12 GB RAM  256 GB ROM  Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP  32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"12 GB RAM,  256 GB ROM,  Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display,50MP + 12MP + 5MP  32MP Front Camera,5000 mAh Battery,Exynos 1480 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",12 GB RAM,256 GB ROM,Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display,50MP + 12MP + 5MP  32MP Front Camera,5000 mAh Battery,Exynos 1480 Processor,
"vivo V30 Pro 5G (Andaman Blue, 512 GB)",vivo,"39,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5,12 GB RAM  512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP  50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"12 GB RAM,  512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP + 50MP  50MP Front Camera,5000 mAh Battery,Dimensity 8200 5G Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories",12 GB RAM,512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP + 50MP  50MP Front Camera,5000 mAh Battery,Dimensity 8200 5G Processor,
"SAMSUNG Galaxy S23 5G (Green, 256 GB)",SAMSUNG,"49,999",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6,8 GB RAM  256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP  12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"8 GB RAM,  256 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,50MP + 10MP + 12MP  12MP Front Camera,3900 mAh Lithium Ion Battery,Qualcomm Snapdragon 8 Gen 2 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",8 GB RAM,256 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,50MP + 10MP + 12MP  12MP Front Camera,3900 mAh Lithium Ion Battery,Qualcomm Snapdragon 8 Gen 2 Processor,
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)",SAMSUNG,"27,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4,8 GB RAM  256 GB ROM  Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP  32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,"8 GB RAM,  256 GB ROM,  Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display,50MP + 12MP + 5MP  32MP Front Camera,5000 mAh Battery,Samsung Exynos 1480 Processor,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",8 GB RAM,256 GB ROM,Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display,50MP + 12MP + 5MP  32MP Front Camera,5000 mAh Battery,Samsung Exynos 1480 Processor,
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)",OnePlus,"36,990",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera | 32MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2,8 GB RAM  128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera  32MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,"8 GB RAM,  128 GB ROM,17.02 cm (6.7 inch) Display,48MP Rear Camera,  32MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories",8 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Display,32MP Front Camera,32MP Front Camera,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,
"Apple iPhone 13 (Blue, 128 GB)",Apple,"44,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP  12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP  12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.",128 GB ROM,128 GB ROM,12MP + 12MP  12MP Front Camera,12MP + 12MP  12MP Front Camera,1 year warranty for phone and 1 year warranty for in Box Accessories.,#VALUE!,
